id,title_romaji,title_english,average_score,genres,start_year,status,chapters,volumes,staff_names
107237,Blue Period,Blue Period,86,"Drama, Slice of Life",2017,RELEASING,,,"Tsubasa Yamaguchi, Ajani Oloye, Jesús Espí, Tommaso Ghirlanda, Nathalie Lejeune, Brigitte Dubois, Karolina Dwornik, Ukato Mai, Tama Duy Ngoc"
97553,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",,86,"Drama, Psychological, Romance, Supernatural",2016,FINISHED,18.0,3.0,"Shouichi Taguchi, Shouichi Taguchi, Sugaru Miaki, E9L, Minh Quang"
110801,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 3-bu - Ryoushu no Youjo,Ascendance of a Bookworm: Part 3,86,"Fantasy, Slice of Life",2016,FINISHED,117.0,5.0,"You Shiina, Miya Kazuki, Quof, Kieran Redgewell, Meiru"
106331,Ikoku Nikki,,86,"Drama, Slice of Life",2017,FINISHED,57.0,11.0,"Tomoko Yamashita, Pascale Simon, Eric Montesinos, Sign*, Lan Qiu Wan"
86218,Yagate Kimi ni Naru,Bloom Into You,86,"Drama, Romance, Slice of Life",2015,FINISHED,53.0,8.0,"Nio Nakatani, Jenny McKeon, Aline Kukor, Karen Hayashida, Agnès Pérez Massegú, Lasse Christiansen, Sara Manasterska, Jiarong Jiang, Jia Yun, Xiangbei Zheng, CK Russell"
30004,Yokohama Kaidashi Kikou,Yokohama Kaidashi Kikou,86,"Sci-Fi, Slice of Life",1994,FINISHED,144.0,14.0,"Hitoshi Ashinano, Daniel Komen, Ludwig Sacramento"
174875,Kimi ni Okuru Eien,,85,"Drama, Psychological, Romance",2024,FINISHED,1.0,1.0,Yuama
110800,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Shinden no Miko Minarai,Ascendance of a Bookworm: Part 2,85,"Fantasy, Slice of Life",2015,FINISHED,105.0,4.0,"You Shiina, Miya Kazuki, Quof, Kieran Redgewell, Meiru"
92936,Umineko no Naku Koro ni Chiru Episode 5: End of the Golden Witch,,85,"Drama, Fantasy, Horror, Mystery",2012,FINISHED,,2.0,"Ryukishi07, Tomohi"
86569,Diamond no Ace Act II,Ace of the Diamond Act II,85,"Slice of Life, Sports",2015,FINISHED,308.0,34.0,Yuuji Terajima
187944,Nae Choeaeneun Makchareul Tanda,My Bias Gets on the Last Train,85,"Drama, Romance",2024,RELEASING,,,JIXKSEE
114998,Bungou Stray Dogs BEAST,Bungo Stray Dogs Beast,85,"Action, Drama, Mystery, Supernatural",2019,FINISHED,22.0,4.0,"Kafka Asagiri, Harukawa35, Shiwasu Hoshikawa, Kevin Gifford, Bianca Pistillo, Karolina Dwornik"
105778,Chainsaw Man,Chainsaw Man,85,"Action, Comedy, Drama, Horror, Supernatural",2018,RELEASING,,,"Tatsuki Fujimoto, Hanachika Toyama, Norihito Sasaki, Sabrina Heep, Yukinobu Tatsu, Sébastien Ludmann, Amanda Haley, Felipe Monte, Judit Moreno, Emilio Ros Casas, Erwan Lossois, Sou Nishida, Jun Nagatsuki, Shihei Lin, Si-Nae Kim, Wojciech Gęszczak, Ili Tenjou, Judith Rodríguez, Yoshino Tsukasa, Paulo Kutscher"
99022,Kusuriya no Hitorigoto,The Apothecary Diaries,85,"Drama, Mystery",2017,RELEASING,,,"Natsu Hyuuga, Erika Ikeda, Touko Shino, Itsuki Nanao, Géraldine Oudin, Clair Obscur, Julie Goniwich, Lidwina Leung, Sara Manasterska, Lun Ke, Katarzyna Szelenbaum"
119521,Bukgeom Jeongi,The Legend of the Northern Blade,85,"Action, Adventure, Fantasy",2019,FINISHED,202.0,,"U-Gak, Hae-Min, Son"
106929,Eleceed,Eleceed,85,"Action, Comedy, Supernatural",2018,RELEASING,,,"Hye-Jin Kim, Jae-Ho Son"
