manga_id,title_romaji,sales_circulation,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes,sales_source
85470,Mushoku Tensei: Isekai Ittara Honki Dasu,"5,000,000",Mushoku Tensei: Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,NOVEL,34113,88,1/23/14,11/25/22,FINISHED,334,26,https://en.wikipedia.org/wiki/Mushoku_Tensei
39115,Ookami to Koushinryou,"5,000,000",Spice & Wolf,狼と香辛料,NOVEL,17524,87,2/10/06,,RELEASING,0,0,https://en.wikipedia.org/wiki/Spice_and_Wolf
105398,Na Honjaman Level Up,"5,000,000.00",Solo Leveling,나 혼자만 레벨업,MANGA,260393,84,3/4/18,5/31/23,FINISHED,201,15,https://en.wikipedia.org/wiki/Solo_Leveling
30028,NANA,"50,000,000",Nana,NANA,MANGA,51460,88,5/15/00,,RELEASING,0,0,
106130,Blue Lock,"50,000,000.00",Blue Lock,ブルーロック,MANGA,110330,82,8/1/18,,RELEASING,0,0,https://en.wikipedia.org/wiki/Blue_Lock
30013,ONE PIECE,516000000,One Piece,ONE PIECE,MANGA,210863,91,7/22/97,,RELEASING,1128,111,https://en.wikipedia.org/wiki/One_Piece
44893,Bakemonogatari,"66,000",Bakemonogatari: Monster Tale,化物語,NOVEL,18144,87,11/1/06,12/4/06,FINISHED,41,2,https://en.wikipedia.org/wiki/Monogatari_(series)
53751,Nekomonogatari: Shiro,"66,000",Nekomonogatari: Cat Tale (White),猫物語（白）,NOVEL,7744,88,10/27/10,10/27/10,FINISHED,40,1,https://en.wikipedia.org/wiki/Monogatari_(series)
30642,Vinland Saga,"7,000,000",Vinland Saga,ヴィンランド・サガ,MANGA,125169,90,4/27/05,7/25/25,FINISHED,220,29,https://en.wikipedia.org/wiki/Vinland_Saga_(manga)
75143,Kono Oto Tomare!,"7,500,000",Not Recorded,この音とまれ！,MANGA,21791,87,8/4/12,,RELEASING,0,0,
30002,Berserk,"70,000,000",Berserk,ベルセルク,MANGA,221068,93,8/25/89,,RELEASING,0,0,https://en.wikipedia.org/wiki/Berserk_(manga)
65243,Haikyuu!!,"70,000,000",Haikyu!!,ハイキュー！！,MANGA,95411,89,2/20/12,7/20/20,FINISHED,404,45,https://en.wikipedia.org/wiki/Haikyu!!
30436,Uzumaki,784,Uzumaki: Spiral into Horror,うずまき,MANGA,81448,79,1/19/98,8/30/99,FINISHED,20,3,https://en.wikipedia.org/wiki/Uzumaki
107237,Blue Period,"8,000,000.00",Blue Period,ブルーピリオド,MANGA,71761,86,6/24/17,,RELEASING,0,0,https://en.wikipedia.org/wiki/Picasso%27s_Blue_Period
30025,Hagane no Renkinjutsushi,"80,000,000",Fullmetal Alchemist,鋼の錬金術師,MANGA,72924,89,7/12/01,6/11/10,FINISHED,116,27,https://en.wikipedia.org/wiki/Fullmetal_Alchemist
30656,Vagabond,"82,000,000",Vagabond,バガボンド,MANGA,144364,92,9/3/98,,RELEASING,0,0,https://en.wikipedia.org/wiki/Vagabond_(manga)
30026,HUNTER×HUNTER,"84,000,000",Hunter x Hunter,HUNTER×HUNTER,MANGA,98232,88,3/3/98,,RELEASING,0,0,https://en.wikipedia.org/wiki/Hunter_%C3%97_Hunter
