manga_id,title_romaji,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes
110801,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 3-bu - Ryoushu no Youjo,Ascendance of a Bookworm: Part 3,本好きの下剋上~司書になるためには手段を選んでいられません~第三部「領主の養女」,NOVEL,2245,86,2016-09-10,2017-09-09,FINISHED,117.0,5.0
110802,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 4-bu - Kizoku-in no Jishou Tosho Iin,Ascendance of a Bookworm: Part 4,本好きの下剋上~司書になるためには手段を選んでいられません~第四部「貴族院の自称図書委員」,NOVEL,1980,87,2017-12-09,2019-12-10,FINISHED,209.0,9.0
110803,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Kizoku-in Gaiden 1-nensei,Ascendance of a Bookworm: Royal Academy Stories - First Year,本好きの下剋上~司書になるためには手段を選んでいられません~貴族院外伝 一年生,NOVEL,626,81,2018-10-10,2018-10-10,FINISHED,18.0,1.0
110804,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Hon no Tamenara Miko ni Naru!,Ascendance of a Bookworm ~I'll do anything to become a librarian!~ Part 2 I'll even join the temple to read books!,本好きの下剋上~司書になるためには手段を選んでいられません~ 第二部 「本のためなら巫女になる!」,MANGA,3929,77,2018-09-24,2025-08-25,FINISHED,80.0,13.0
110805,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 3-bu - Ryouchi ni Hon wo Hirogeyou!,Ascendance of a Bookworm ~I'll do anything to become a librarian!~ Part 3 Let's spread books through the duchy!,本好きの下剋上~司書になるためには手段を選んでいられません~ 第三部 「領地に本を広げよう!」,MANGA,2153,77,2018-04-30,,RELEASING,0.0,0.0
110992,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,Not Recorded,ファタモルガーナの館 ―The house in Fata morgana― あなたの原典に至る物語,NOVEL,5516,89,2014-08-04,2016-01-14,FINISHED,21.0,5.0
111044,Kirai de Isasete,"Hate Me, but Let Me Stay",嫌いでいさせて,MANGA,4690,79,2018-10-18,,RELEASING,0.0,0.0
111075,Eotteon Gyemonimui Marchen,A Stepmother’s Märchen,어떤 계모님의 메르헨,MANGA,16470,81,2019-07-04,,RELEASING,0.0,0.0
111116,Red Candy,Red Candy,레드 캔디,MANGA,3702,77,2018-08-20,2023-03-22,FINISHED,103.0,0.0
111189,Yubisaki to Renren,A Sign of Affection,ゆびさきと恋々,MANGA,32257,83,2019-07-24,,RELEASING,0.0,0.0
111212,Rebuild World,Rebuild World,リビルドワールド,MANGA,11044,77,2019-05-26,,RELEASING,0.0,0.0
111233,Yofukashi no Uta,Call of the Night,よふかしのうた,MANGA,57967,81,2019-08-28,2024-01-24,FINISHED,203.0,20.0
111258,Bocchi the Rock!,Bocchi the Rock!,ぼっち・ざ・ろっく！,MANGA,17266,82,2018-03-19,,RELEASING,0.0,0.0
111335,On or Off,On or Off,온 오어 오프,MANGA,4727,78,2019-05-29,2022-02-28,FINISHED,91.0,5.0
111406,Gujebulleung,Not Recorded,구제불능,MANGA,3514,77,2019-04-02,2019-06-03,FINISHED,8.0,0.0
111489,Gorae Byul,Whale Star: The Gyeongseong Mermaid,고래별,MANGA,3353,79,2019-06-20,2021-06-18,FINISHED,106.0,6.0
111593,Zui Ai Ni Di Na Shi Nian,10 Years That I Loved You the Most,最爱你的那十年,MANGA,5970,81,2018-09-23,2020-01-26,FINISHED,72.0,0.0
111608,Kimi no Sumire,Kimi no Sumire: Your Spring Flower,きみの春花,MANGA,2029,78,2019-08-22,,RELEASING,0.0,0.0
111970,Sayonara Rose Garden,"Goodbye, My Rose Garden",さよならローズガーデン,MANGA,9674,78,2018-07-09,2020-01-12,FINISHED,18.0,3.0
112197,Medical Hwansaeng,Not Recorded,메디컬 환생,MANGA,11270,78,2019-09-07,2022-01-28,FINISHED,148.0,0.0
112218,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-4 Shou - Seiiki to Gouyoku no Majo,Re:ZERO -Starting Life in Another World- Chapter 4: The Sanctuary and the Witch of Greed,Re:ゼロから始める異世界生活 第四章 聖域と強欲の魔女,MANGA,2898,79,2019-09-27,,RELEASING,0.0,0.0
112234,Hoshi Furu Oukoku no Nina,Nina the Starry Bride,星降る王国のニナ,MANGA,4528,77,2019-10-01,,RELEASING,0.0,0.0
112275,Tian Guan Ci Fu,Heaven Official's Blessing,天官赐福,MANGA,18152,87,2019-10-19,,RELEASING,0.0,0.0
112335,FANGS,FANGS,FANGS,MANGA,2559,79,2019-06-08,,RELEASING,0.0,0.0
112378,Jintian De Ta Yeshi Ruci Keai,She Is Also Cute Today,今天的她也是如此可爱,MANGA,10679,77,2019-09-13,2022-02-02,FINISHED,125.0,0.0
112484,Therapy Game Restart,Therapy Game Restart,セラピーゲーム リスタート,MANGA,2264,81,2019-10-12,,RELEASING,0.0,0.0
112518,King's Maker: Triple Crown,King's Maker: Triple Crown,킹스메이커 ~Triple Crown~,MANGA,4537,78,2019-05-31,2024-10-21,FINISHED,149.0,0.0
112524,BLUE GIANT SUPREME,Not Recorded,BLUE GIANT SUPREME,MANGA,2602,79,2016-09-10,2020-04-25,FINISHED,88.0,11.0
